# TIDE TABLE
#---------------------------------------------------------
# Created by:   Danish Meteorological Institute
# Station:      Juelsminde
# Stat.number:  23132
# Country:      Denmark
# Data source:  DMI
# Latitude:      55 43 N  =   55.7167
# Longitude:     10 01 E  =   10.0167
# Time Zone:    Danish standard time [UTC +1 hour]
# Reference:    Chart Datum = Mean Sea Level (MSL)
# LAT:            -36.1 cm
# Z0:               3.4 cm
# Parameter:    Tidal height [cm]
# Data format:  <yyyymmddHHMM> h[cm]
#---------------------------------------------------------
202101021720	 -4.9
202101021730	 -6.2
202101021740	 -7.4
202101021750	 -8.6
202101021800	 -9.7
202101021810	-10.7
202101021820	-11.7
202101021830	-12.6
202101021840	-13.5
202101021850	-14.2
202101021900	-14.8
202101021910	-15.4
202101021920	-15.8
202101021930	-16.1
202101021940	-16.3
202101021950	-16.4
202101022000	-16.4
202101022010	-16.3
202101022020	-16.1
202101022030	-15.7
202101022040	-15.3
202101022050	-14.7
202101022100	-14.0
202101022110	-13.3
202101022120	-12.4
202101022130	-11.5
202101022140	-10.5
202101022150	 -9.4
202101022200	 -8.2
202101022210	 -7.0
202101022220	 -5.7
202101022230	 -4.5
202101022240	 -3.1
202101022250	 -1.8
202101022300	 -0.4
202101022310	  0.9
202101022320	  2.3
202101022330	  3.6
202101022340	  4.9
202101022350	  6.2
202101030000	  7.4
202101030010	  8.5
202101030020	  9.6
202101030030	 10.7
202101030040	 11.6
202101030050	 12.5
202101030100	 13.3
202101030110	 13.9
202101030120	 14.5
202101030130	 15.0
202101030140	 15.4
202101030150	 15.6
202101030200	 15.8
202101030210	 15.8
202101030220	 15.7
202101030230	 15.5
202101030240	 15.2
202101030250	 14.7
202101030300	 14.2
202101030310	 13.6
202101030320	 12.8
202101030330	 12.0
202101030340	 11.1
202101030350	 10.1
202101030400	  9.0
202101030410	  7.9
202101030420	  6.7
202101030430	  5.5
202101030440	  4.2
202101030450	  2.9
202101030500	  1.5
202101030510	  0.2
202101030520	 -1.2
202101030530	 -2.5
202101030540	 -3.8
202101030550	 -5.1
202101030600	 -6.4
202101030610	 -7.6
202101030620	 -8.7
202101030630	 -9.8
202101030640	-10.8
202101030650	-11.8
202101030700	-12.6
202101030710	-13.4
202101030720	-14.0
202101030730	-14.6
202101030740	-15.0
202101030750	-15.4
202101030800	-15.6
202101030810	-15.7
202101030820	-15.7
202101030830	-15.5
202101030840	-15.3
202101030850	-14.9
202101030900	-14.4
202101030910	-13.9
202101030920	-13.2
202101030930	-12.4
202101030940	-11.5
202101030950	-10.5
202101031000	 -9.4
202101031010	 -8.3
202101031020	 -7.1
202101031030	 -5.8
202101031040	 -4.5
202101031050	 -3.1
202101031100	 -1.7
202101031110	 -0.3
202101031120	  1.1
202101031130	  2.6
202101031140	  4.0
202101031150	  5.4
202101031200	  6.8
202101031210	  8.1
202101031220	  9.4
202101031230	 10.6
202101031240	 11.8
202101031250	 12.9
202101031300	 13.9
202101031310	 14.8
202101031320	 15.6
202101031330	 16.3
202101031340	 17.0
202101031350	 17.4
202101031400	 17.8
202101031410	 18.1
202101031420	 18.2
202101031430	 18.2
202101031440	 18.1
202101031450	 17.8
202101031500	 17.5
202101031510	 17.0
202101031520	 16.4
202101031530	 15.6
202101031540	 14.8
202101031550	 13.9
202101031600	 12.8
202101031610	 11.7
202101031620	 10.5
202101031630	  9.2
202101031640	  7.8
202101031650	  6.4
202101031700	  4.9
202101031710	  3.4
202101031720	  1.9
202101031730	  0.3
202101031740	 -1.2
202101031750	 -2.8
202101031800	 -4.3
202101031810	 -5.9
202101031820	 -7.3
202101031830	 -8.8
202101031840	-10.2
202101031850	-11.5
202101031900	-12.7
202101031910	-13.9
202101031920	-15.0
202101031930	-16.0
202101031940	-16.8
202101031950	-17.6
202101032000	-18.2
202101032010	-18.8
202101032020	-19.2
202101032030	-19.4
202101032040	-19.6
202101032050	-19.6
202101032100	-19.5
202101032110	-19.3
202101032120	-18.9
202101032130	-18.4
202101032140	-17.8
202101032150	-17.0
202101032200	-16.2
202101032210	-15.2
202101032220	-14.2
202101032230	-13.0
202101032240	-11.8
202101032250	-10.5
202101032300	 -9.1
202101032310	 -7.7
202101032320	 -6.2
202101032330	 -4.7
202101032340	 -3.2
202101032350	 -1.6
202101040000	 -0.0
202101040010	  1.5
202101040020	  3.1
202101040030	  4.6
202101040040	  6.0
202101040050	  7.5
202101040100	  8.8
202101040110	 10.1
202101040120	 11.3
202101040130	 12.5
202101040140	 13.5
202101040150	 14.5
202101040200	 15.3
202101040210	 16.0
202101040220	 16.6
202101040230	 17.1
202101040240	 17.4
202101040250	 17.7
202101040300	 17.7
202101040310	 17.7
202101040320	 17.5
202101040330	 17.3
202101040340	 16.8
202101040350	 16.3
202101040400	 15.6
202101040410	 14.9
202101040420	 14.0
202101040430	 13.0
202101040440	 11.9
202101040450	 10.7
202101040500	  9.5
202101040510	  8.2
202101040520	  6.8
202101040530	  5.4
202101040540	  3.9
202101040550	  2.4
202101040600	  0.9
202101040610	 -0.6
202101040620	 -2.1
202101040630	 -3.6
202101040640	 -5.1
202101040650	 -6.5
202101040700	 -7.9
202101040710	 -9.3
202101040720	-10.5
202101040730	-11.7
202101040740	-12.8
202101040750	-13.8
202101040800	-14.7
202101040810	-15.5
202101040820	-16.2
202101040830	-16.7
202101040840	-17.1
202101040850	-17.4
202101040900	-17.6
202101040910	-17.6
202101040920	-17.5
202101040930	-17.3
202101040940	-16.9
202101040950	-16.4
202101041000	-15.8
202101041010	-15.1
202101041020	-14.2
202101041030	-13.2
202101041040	-12.1
202101041050	-11.0
202101041100	 -9.7
202101041110	 -8.3
202101041120	 -6.9
202101041130	 -5.4
202101041140	 -3.8
202101041150	 -2.3
202101041200	 -0.6
202101041210	  1.0
202101041220	  2.7
202101041230	  4.3
202101041240	  5.9
202101041250	  7.5
202101041300	  9.1
202101041310	 10.6
202101041320	 12.1
202101041330	 13.5
202101041340	 14.8
202101041350	 16.0
202101041400	 17.1
202101041410	 18.1
202101041420	 19.0
202101041430	 19.8
202101041440	 20.4
202101041450	 20.9
202101041500	 21.3
202101041510	 21.6
202101041520	 21.6
202101041530	 21.6
202101041540	 21.4
202101041550	 21.0
202101041600	 20.6
202101041610	 19.9
202101041620	 19.2
202101041630	 18.3
202101041640	 17.3
202101041650	 16.1
202101041700	 14.9
202101041710	 13.5
202101041720	 12.1
202101041730	 10.5
202101041740	  8.9
202101041750	  7.2
202101041800	  5.5
202101041810	  3.7
202101041820	  1.9
202101041830	  0.1
202101041840	 -1.7
202101041850	 -3.5
202101041900	 -5.4
202101041910	 -7.1
202101041920	 -8.9
202101041930	-10.5
202101041940	-12.2
202101041950	-13.7
202101042000	-15.2
202101042010	-16.5
202101042020	-17.8
202101042030	-18.9
202101042040	-20.0
202101042050	-20.8
202101042100	-21.6
202101042110	-22.2
202101042120	-22.7
202101042130	-23.0
202101042140	-23.2
202101042150	-23.2
202101042200	-23.1
202101042210	-22.8
202101042220	-22.4
202101042230	-21.9
202101042240	-21.2
202101042250	-20.3
202101042300	-19.4
202101042310	-18.3
202101042320	-17.1
202101042330	-15.8
202101042340	-14.4
202101042350	-12.9
202101050000	-11.3
202101050010	 -9.6
202101050020	 -7.9
202101050030	 -6.2
202101050040	 -4.4
202101050050	 -2.6
202101050100	 -0.8
202101050110	  1.0
202101050120	  2.7
202101050130	  4.5
202101050140	  6.2
202101050150	  7.8
202101050200	  9.4
202101050210	 10.9
202101050220	 12.3
202101050230	 13.7
202101050240	 14.9
202101050250	 16.0
202101050300	 17.0
202101050310	 17.8
202101050320	 18.5
202101050330	 19.1
202101050340	 19.6
202101050350	 19.9
202101050400	 20.0
202101050410	 20.0
202101050420	 19.8
202101050430	 19.5
202101050440	 19.1
202101050450	 18.5
202101050500	 17.8
202101050510	 16.9
202101050520	 16.0
202101050530	 14.9
202101050540	 13.7
202101050550	 12.4
202101050600	 11.0
202101050610	  9.5
202101050620	  8.0
202101050630	  6.4
202101050640	  4.7
202101050650	  3.0
202101050700	  1.3
202101050710	 -0.4
202101050720	 -2.1
202101050730	 -3.8
202101050740	 -5.5
202101050750	 -7.1
202101050800	 -8.7
202101050810	-10.2
202101050820	-11.6
202101050830	-12.9
202101050840	-14.2
202101050850	-15.3
202101050900	-16.4
202101050910	-17.3
202101050920	-18.1
202101050930	-18.7
